Date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Виробництво харчових продуктів,Виробництво напоїв,Виробництво іншої неметалевої мінеральної продукції,"Виробництво машин і устатковання, н.в.і.у.","Виробництво автотранспортних засобів, причепів і напівпричепів",Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Допоміжна діяльність у сферах фінансових послуг і страхування,"Оренда, прокат і лізинг",Діяльність охоронних служб та проведення розслідувань,Обслуговування будинків і територій,Охорона здоров'я,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку",Операції з нерухомим майном,"Діяльність у сфері спорту, організування відпочинку та розваг",Виробництво хімічних речовин і хімічної продукції,Надання інформаційних послуг,Лісове господарство та лісозаготівлі,Виробництво гумових і пластмасових виробів,Наземний і трубопровідний транспорт,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Рибне господарство,Спеціалізовані будівельні роботи,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Складське господарство та допоміжна діяльність у сфері транспорту
2023-03-01,,145575.26281,15715.1874,1029.16708,,,,,298.44408,162556.60331,75128.65623,,11135.99829,673231.55275,10195.4545,5216.81947,,,8920.17772,575.38912,10744.90354,,257998.95989,,,72341.85479,,816.95779,918.95361,,,,11172.56247,,,
2023-04-01,,145242.90112,14214.42674,1156.76651,,,28543.98631,,298.64098,232384.87652,56420.28706,,12252.37985,768154.65459,1929.72531,8449.07569,,,,690.74814,10834.66411,,,9057.05063,,,,808.67278,908.10477,,,,11303.39504,,,
2023-05-01,,146393.28441,14214.42674,8.4731,,,16458.2912,,299.85938,232104.44886,59525.96744,23186.14625,13567.84468,741321.74246,1131.43728,8303.36742,,,,5.30606,10950.38982,,,9129.50827,,,,817.54401,923.77891,,,,11303.39504,,,
2023-06-01,,145524.18014,14214.42674,832.3555,,,13000.0,,169.53047,251072.37142,57159.20776,23419.97411,11756.95184,711841.91369,427.41108,8282.32087,,,,649.29825,10117.46607,,,9134.12844,,,,813.12867,908.10477,,,,11106.01357,,,
2023-07-01,,146954.79066,14216.95807,615.6853,,,12892.37717,,299.21343,248451.10068,58416.56692,22984.5832,11551.91418,723391.7187,2140.15604,7977.32246,,,,550.00442,9764.46354,,,9129.76456,,,,812.56594,908.10477,,,,11490.07047,,2002.26616,
2023-08-01,,147334.40134,14214.42674,757.13827,,,16000.0,,300.7609,300623.23049,55632.54328,23313.64197,10404.08931,738642.12911,2139.09159,10615.29248,,,,605.42419,9461.36354,,,10500.01229,,,,812.85205,908.10477,,,,11350.90304,,15.60714,
2023-09-01,,108316.55939,14214.42674,0.40818,,,35949.94244,,327.03352,292237.44589,51651.86539,17446.25666,11008.16477,889431.35282,436.16273,10679.3668,,6930.83408,,272.02748,9463.70147,,,9149.35775,,,,812.73342,908.10477,,,,11308.7986,,2.94712,
2023-10-01,,107407.23956,12714.42674,2.40213,,,50302.93194,,,183635.52161,55866.29727,16116.0927,10142.71276,865655.53182,1965.87217,10574.13411,,6745.34775,,410.28527,9289.23751,,,8890.58667,,,,798.98629,908.10477,,,,11116.41077,,1.16572,
2023-11-01,,107041.33242,12714.42674,9.83479,,,50890.22964,,,299574.06318,59896.41778,12537.76135,13103.59143,835020.63002,2006.24042,10559.04058,,6749.2221,,431.27802,9291.40965,,,9027.25419,,,,803.94048,908.10477,5.74806,,,11147.24333,,0.34364,
2023-12-01,,106823.4682,12714.42674,965.32522,,,47027.0411,,1014.49932,319486.57123,63490.39117,21030.69445,12113.81178,884236.6942,440.0519,10524.47493,,6993.90772,,,9456.73392,,,8994.11488,,,,813.23137,908.10477,0.78983,,,11123.85551,,5.21362,
2024-01-01,,122970.00033,12984.3906,18.92736,,,12774.52402,,,351120.90245,62147.85479,14951.19823,12296.4456,1045415.60452,437.82671,10195.34246,,11097.22933,,,9438.49784,,,9027.26667,,,,827.48196,397.09581,,,,11204.33207,,1403.89491,
2024-02-01,,122667.81061,11214.42674,1029.27394,,,,,2285.22791,288293.15013,14365.2578,23392.66039,9025.62119,865683.249,432.52932,10194.80874,,10961.47571,,,9339.86194,,,5034.0658,,,,813.2077,404.15891,,,,11334.80717,,0.80552,
2024-03-01,,128377.94697,11214.42674,,,,,,,375941.89574,20227.00196,23381.1219,9149.75418,898334.6979,438.24838,10182.24044,,10613.24609,,,9330.43208,,,4950.59994,,,,812.20155,403.70323,,,,11334.80717,,,
2024-04-01,,130746.26832,11451.89069,,,,4863.91934,,,328350.98459,19110.607,23414.75338,9173.02441,947068.40322,1269.61888,10194.80874,,10406.67351,,,9341.94976,,,5016.25626,,,,826.41163,,180.11957,,,11237.80717,,1933.73939,48715.77253
2024-05-01,,138776.34291,10736.03386,,,,10615.17293,,,394230.91881,18860.43109,11049.4263,9157.0084,885907.19201,900.6651,10188.52459,3.42918,10423.62447,,,,,,,,,,840.16332,,103.20587,,,11237.80717,,,
2024-06-01,,143819.23725,10504.04414,,,,10663.16491,,,344854.95799,19137.66649,23376.01438,9163.48485,852675.04909,692.76305,10194.80874,2496.93999,10229.81392,,,,,,,,,,,,1.00929,,,11187.80717,,964.01375,
